Persona,Feature Group,Feature,Outcome,Likely Code Location,Status (verify)
End User,Install,One-time MDM 'Allow' prompt on the device,Device joined to PatronAI fleet without IT shoulder-surf,agent/install/jamf.sh + .app bundle plist,TBD
End User,Runtime,Transparent background agent (no UI / no popups),Zero workflow disruption,agent/install/patronai_agent.py (planned),TBD
End User,Privacy,Metadata-only telemetry — no payload exfiltration,User trust + GDPR posture,agent/heartbeat schema,TBD
End User,Privacy,Email hashing (default-on toggle),PII protection in alerts,settings.json hash_emails flag,TBD
End User,Optional,Coaching message when blocked AI tool used,Education without escalation,scanner/coaching_email (planned),TBD
Security Executive,Dashboard,Exec view world map of AI tool usage,Geographic visualisation for board reporting,grafana/dashboards/exec.json,TBD
Security Executive,Dashboard,Risk heatmap — dept × severity,Focus on highest-impact areas,grafana/dashboards/exec.json,TBD
Security Executive,Dashboard,AI Landscape — bubble chart + topology,Vendor distribution insight,grafana/dashboards/exec.json,TBD
Security Executive,Dashboard,Data exposure Sankey + incident timeline,Trend visibility for governance,grafana/dashboards/exec.json,TBD
Security Executive,Dashboard,Top offenders summary,Surfaces repeat offenders,scanner/summary_builder.py,TBD
Security Executive,Reporting,Board-level PDF report download,Quarterly governance evidence,scanner/pdf_report.py,TBD
Security Executive,Reporting,Refresh Now button (on-demand summary rebuild),Pre-meeting freshness,user_interface/refresh_handler.py,TBD
Security Executive,Reporting,Compliance posture indicator (SOC 2 / ISO mapping),Audit-ready stance,(missing — design only),TBD
Security Executive,Access,Read-only role across dashboards,Governance without ops burden,auth/role_viewer.py,TBD
SecOps Manager,Dashboard,Asset Inventory — every device with MAC + geo,Who has what AI footprint,grafana/dashboards/manager.json,TBD
SecOps Manager,Dashboard,Risk Alerts — open alerts + bulk actions,Triage queue,grafana/dashboards/manager.json,TBD
SecOps Manager,Dashboard,Log View — raw OCSF + filters + CSV export,Forensic investigation,scanner/log_view.py,TBD
SecOps Manager,Dashboard,Pipeline Health tile — scan lag + SNS delivery,Platform observability,scanner/pipeline_health.py,TBD
SecOps Manager,Operations,Force Rescan button,Skip the wait between scan cycles,user_interface/force_rescan.py,TBD
SecOps Manager,Operations,Backfill — re-scan historical period,Catch-up after outage / new rule deployment,user_interface/backfill.py,TBD
SecOps Manager,Operations,Refresh Now — rebuild summary on demand,Live data on demand,user_interface/refresh_handler.py,TBD
SecOps Manager,Configuration,Allow list editor (authorized.csv),Reduce false positives for sanctioned endpoints,user_interface/allowlist_editor.py,TBD
SecOps Manager,Configuration,Scan interval setting,Tune frequency vs cost,settings.json scan_interval_secs,TBD
SecOps Manager,Configuration,Dedup window control,Prevent alert spam,settings.json dedup_window_minutes,TBD
SecOps Manager,Configuration,CrowdStrike (endpoint protection) toggle,Honest gap banner when disabled,settings.json crowdstrike_enabled,TBD
SecOps Manager,Alerting,SNS alert delivery (email / SMS),Out-of-band notification,scanner/sns_dispatcher.py,TBD
SecOps Manager,Alerting,Trinity incident auto-create on HIGH / CRITICAL,Workflow handoff to ITSM,scanner/trinity_webhook.py,TBD
SecOps Manager,Alerting,LogAnalyzer on-demand referral,Enriched deeper investigation,scanner/loganalyzer_referral.py,TBD
SecOps Manager,Identity,User invite / remove,Tenant access control,user_interface/users.py,TBD
SecOps Manager,Identity,IP-to-user mapping inspection,Attribute alert to a person,scanner/identity_resolver.py,TBD
SecOps Manager,Integration,OCSF CSV export to external SIEM,Plug into existing security stack,scanner/ocsf_export.py,TBD
SecOps Manager,Integration,AIRTaaS red team trigger,Validate detection coverage,scanner/airtaas_trigger.py (planned),TBD
Support Team,Detection Rules,Maintain 70+ AI provider denylist,Catch new AI tools as they emerge,config/unauthorized.csv,Done (audit)
Support Team,Detection Rules,Maintain code-layer denylist (frameworks / MCP / keys),Pre-commit detection coverage,config/unauthorized_code.csv,Done (audit)
Support Team,Detection Rules,Multi-signal detection (image digest > name > DNS > process > .app > port),Defeats Docker port-mapping evasion,scanner/multi_signal_matcher.py (planned),Pending
Support Team,Detection Rules,Local inference port detection (Ollama 11434 / LM Studio 1234 / etc.),Catch self-hosted models,config/unauthorized.csv local-port rows,Done
Support Team,Detection Rules,Hardcoded API key patterns (sk-proj- / sk-ant- / hf_ / etc.),Catch keys at commit time,config/unauthorized_code.csv key rows,Done
Support Team,Detection Rules,Add coverage for n8n cloud / sim.ai / Google Opal / Langflow / Dify,Coverage parity with 2026 AI tooling landscape,config/unauthorized.csv + unauthorized_code.csv (planned),Pending
Support Team,Engineering,Marauder Scan code layer (GitLeaks custom rules),Detect frameworks at git commit,marauder-scan/gitleaks_rules/,TBD
Support Team,Engineering,Pre-commit hook (zero inference / writes git-diffs to S3),Catch ambiguous diffs for offline classification,agent/install/git_hook_pre_commit.sh,Done
Support Team,Engineering,Local LLM classifier (Gemma 4 E4B via llama.cpp on EC2),Disambiguate marginal signals — never on edge,scanner/llm_classifier.py,TBD
Support Team,Engineering,OCSF normaliser (VPC Flow / Packetbeat / Zeek → universal JSON),Single schema for all telemetry,scanner/ocsf_normaliser.py,TBD
Support Team,Engineering,Cloud-agnostic adapter (AWS / GCP / Azure switch),Single codebase across clouds,scanner/cloud_adapters/,TBD
Support Team,Engineering,Polars + S3 Select push-down (under 200MB memory),Cost + speed efficiency at 10K devices,scanner/match_engine.py,TBD
Support Team,Engineering,Dedup engine (one alert per source per provider per window),Quality over noise,scanner/dedup.py,TBD
Support Team,Engineering,VPC Flow Log noise filter (NODATA / EFS / NAT / endpoint),Suppress non-actionable ENI traffic,scanner/vpc_flow_filter.py (planned),Pending
Support Team,Engineering,Cursor / state management in S3,Resumable scans across restarts,scanner/cursor.py,TBD
Support Team,Engineering,57 regression tests with HTML report,Confidence on every release,tests/ + pytest-html,TBD
