# =============================================================
# FILE: config/unauthorized_code.csv
# PROJECT: PatronAI — Marauder Scan code layer
# VERSION: 1.1.0
# UPDATED: 2026-04-25
# OWNER: Giggso Inc
# PURPOSE: Deny-all list of AI framework, MCP and agent patterns.
#          Maintained by Giggso. Do not edit — use authorized_code.csv
#          to approve specific items for your organisation.
#          Checked AFTER authorized_code.csv.
#          Match = CODE_ALERT with specified severity.
# FORMAT: name, type, pattern, severity, notes
# AUDIT LOG:
#   v1.0.0  2026-04-18  Initial.
#   v1.1.0  2026-04-25  Group 2.A — IDE plugin IDs (VS Code + JetBrains)
#                       for Copilot, Codeium, Tabnine, Continue, Amazon Q.
# =============================================================
name,type,pattern,severity,notes

# ── LLM API FRAMEWORKS ────────────────────────────────────────
LangChain,framework,langchain,HIGH,LLM application framework — may send data to AI providers
LangGraph,framework,langgraph,HIGH,Stateful agent workflows — LangChain ecosystem
LlamaIndex,framework,llama_index,HIGH,LLM data framework — indexes and queries via AI
LlamaIndex Alt,framework,llama-index,HIGH,Alt import pattern
Haystack,framework,haystack,HIGH,NLP/LLM pipeline framework by deepset
FastAgency,framework,fastagency,HIGH,Multi-agent framework built on AutoGen
Mastra,framework,mastra,HIGH,TypeScript agent framework

# ── MULTI-AGENT FRAMEWORKS ────────────────────────────────────
AutoGen,framework,autogen,HIGH,Microsoft multi-agent framework — now in maintenance mode
AutoGen AG2,framework,ag2,HIGH,AG2 continuation of AutoGen
Microsoft Agent Framework,framework,microsoft.agents,HIGH,Unified AutoGen + Semantic Kernel framework
Semantic Kernel,framework,semantic_kernel,HIGH,Microsoft .NET/Python AI orchestration
SemanticKernel Alt,framework,SemanticKernel,HIGH,Alt import pattern
CrewAI,framework,crewai,HIGH,Role-based multi-agent orchestration framework
OpenAI Agents SDK,framework,from agents import,HIGH,OpenAI official agents SDK
OpenAI Agents SDK Alt,framework,openai.agents,HIGH,Alt import pattern
OpenAI Runner,framework,Runner.run,HIGH,OpenAI agent runner pattern
Google ADK,framework,google.adk,HIGH,Google Agent Development Kit
Google ADK Alt,framework,from google_adk,HIGH,Alt import pattern
Anthropic SDK Agents,framework,anthropic.agents,HIGH,Anthropic multi-agent SDK pattern
Pydantic AI,framework,pydantic_ai,HIGH,Type-safe LLM application framework
SmolaAgents,framework,smolagents,HIGH,HuggingFace lightweight agents library
MetaGPT,framework,metagpt,HIGH,Software-development multi-agent framework
Rasa,framework,rasa,MEDIUM,Conversational AI framework — may use external LLMs
n8n AI,framework,n8n,MEDIUM,Workflow automation with embedded AI agent builder
Flowise,framework,flowise,HIGH,Visual LLM flow builder
Superagent,framework,superagent,HIGH,Cloud-based agent framework

# ── MCP — MODEL CONTEXT PROTOCOL ─────────────────────────────
MCP Server,mcp,MCPServer,HIGH,MCP server implementation — check authorized_code.csv
MCP Server Alt,mcp,mcp_server,HIGH,Alt naming pattern
MCP stdio server,mcp,stdio_server,HIGH,Local MCP server via stdio transport
MCP run,mcp,mcp.run(,HIGH,MCP server start pattern
MCP tool call,mcp,use_mcp_tool,HIGH,Direct MCP tool invocation
MCP call tool,mcp,call_tool(,HIGH,Generic MCP tool call pattern
MCP import,mcp,from mcp import,HIGH,MCP Python SDK import
MCP modelcontextprotocol,mcp,modelcontextprotocol,HIGH,Official MCP package
MCP client,mcp,mcp.Client,HIGH,MCP client connection pattern
Tool decorator,mcp,@function_tool,MEDIUM,OpenAI/MCP tool registration decorator
Tool decorator alt,mcp,@tool,MEDIUM,Generic tool registration — may be MCP
