WBS_ID,Phase,Sprint,Work_Package,Task_ID,Task_Name,Description,Effort_Days,Dependencies,Owner_Role,Priority,Status,Note
1.0,Foundation,1,Setup,1.0.1,Env vars,Add OTX_API_KEY / GITHUB_TOKEN / PRISM7_INBOUND_EMAIL to .env.example. All optional — features degrade gracefully when absent.,0.25,None,DevOps,P0,Pending,
1.0,Foundation,1,Setup,1.0.2,Settings flags,Add enforcement_enabled (default:false) and ueba_grace_period_days (default:14) to config/settings.json schema.,0.25,None,Backend,P0,Pending,
2.0,Gap 1 — DNS Enforcement,1,Route53 Firewall,2.1.1,dns_firewall_sync.py,New job. Reads providers.yaml + unauthorized.csv. Calls boto3 route53resolver to create/update DNS Firewall domain list. Idempotent. Runs hourly at HH+10.,1.0,1.0.1,Backend,P1,Pending,Core new code
2.0,Gap 1 — DNS Enforcement,1,Route53 Firewall,2.1.2,Authorized exclude rules,Extend dns_firewall_sync.py to read authorize.py allow lists and write Route53 ALLOW override rules per user.,0.5,2.1.1,Backend,P1,Pending,
2.0,Gap 1 — DNS Enforcement,1,Route53 Firewall,2.1.3,Schedule wiring,Register dns_firewall_sync.py in main.py scheduler after hourly rollup.,0.25,2.1.1,Backend,P1,Pending,
2.0,Gap 1 — DNS Enforcement,1,Immediate Unblock,2.2.1,services/dns_firewall.py,New module. unblock_domain(domain) calls Route53 Resolver API to remove BLOCK and add ALLOW immediately — no wait for hourly sync.,0.5,1.0.1,Backend,P0,Pending,Required before enforcement ships
2.0,Gap 1 — DNS Enforcement,1,Immediate Unblock,2.2.2,Unblock Now dashboard button,Add Unblock Now button to manager_tab_risks.py. Calls unblock_domain() via backend. Admin role only.,0.5,2.2.1,Frontend,P0,Pending,Required before enforcement ships
2.0,Gap 1 — DNS Enforcement,1,Immediate Unblock,2.2.3,Enforcement settings toggle,Add enforcement_enabled toggle in settings_form.py. Default OFF.,0.25,1.0.2,Frontend,P1,Pending,
2.0,Gap 1 — DNS Enforcement,1,Endpoint,2.3.1,enforce_hosts.py in hook agent,New script. Runs each hook cycle. Fetches s3://patronai/config/enforcement_blocklist.json. Writes to /etc/hosts. Entries tagged # patronai-managed.,1.0,2.1.3,Backend,P1,Pending,
2.0,Gap 1 — DNS Enforcement,1,Endpoint,2.3.2,Hosts cleanup on authorize,Remove # patronai-managed entries from /etc/hosts when user authorizes a domain.,0.5,2.3.1,Backend,P1,Pending,
2.0,Gap 1 — DNS Enforcement,1,Test,2.4.1,Enforcement E2E test,Unauthorized domain → Route53 BLOCK verified → hosts entry verified → authorize → unblock_domain() → both layers cleared.,0.5,2.3.2,QA,P1,Pending,
3.0,Gap 2 — DLP Proxy,2,Container,3.1.1,dlp_proxy/proxy.py,New: aiohttp CONNECT proxy. Port 8080. Intercepts tunnels for domains in providers.yaml. Pass-through everything else.,1.5,None,Backend,P1,Pending,New container
3.0,Gap 2 — DLP Proxy,2,Container,3.1.2,dlp_proxy/inspect.py,4 regex patterns reused from code_engine.py: PAN / SSN / AKIA / bulk email ≥10. Returns (hit bool pattern str).,1.0,3.1.1,Backend,P1,Pending,
3.0,Gap 2 — DLP Proxy,2,Container,3.1.3,S3 block event write,On hit: return 403. Write to s3://patronai/findings/dlp/YYYY/MM/DD/{uuid}.jsonl. Store pattern hit + payload hash only (never raw PII).,0.5,3.1.2,Backend,P1,Pending,
3.0,Gap 2 — DLP Proxy,2,Container,3.1.4,dlp_proxy ingestor normalizer,source_hint=dlp_proxy normalizer in ingestor/pipeline.py. Reads findings/dlp/ via CursorStore. Adds dlp_pattern field to FLAT_SCHEMA.,1.0,3.1.3,Backend,P1,Pending,
3.0,Gap 2 — DLP Proxy,2,Container,3.1.5,docker-compose service,Add dlp-proxy service to docker-compose.yml. python:3.13-slim. Expose 8080.,0.5,3.1.1,DevOps,P1,Pending,
3.0,Gap 2 — DLP Proxy,2,Docs,3.2.1,CA cert + proxy onboarding,Document CA cert install steps and HTTP_PROXY config in developer onboarding guide.,0.5,3.1.5,TW,P2,Pending,
3.0,Gap 2 — DLP Proxy,2,Test,3.3.1,DLP E2E test,Synthetic PAN in body → proxy blocks → finding in PatronAI → DLP badge in dashboard.,0.5,3.1.4,QA,P1,Pending,
4.0,Gap 3 — SOAR,1,Prism7 Wire,4.1.1,send_prism7_alert() in email.py,Add 15-line wrapper to existing src/notify/email.py. Subject: [PatronAI:{sev}] {outcome} | {owner} → {provider}. Body: JSON finding. To: PRISM7_INBOUND_EMAIL from .env.,0.25,None,Backend,P1,Pending,✅ SES infrastructure already done — just a wrapper
4.0,Gap 3 — SOAR,1,Prism7 Wire,4.1.2,dispatcher.py Prism7 channel,5-line addition to alerter/dispatcher.py. results["prism7"] = _fire_prism7(finding). Guard: only if PRISM7_INBOUND_EMAIL set.,0.25,4.1.1,Backend,P1,Pending,✅ Dispatcher pattern already exists
5.0,Gap 4 — Threat Intel,2,Intel Job,5.1.1,threat_intel_refresh.py,New nightly job skeleton. Register in main.py at 02:00 UTC.,0.5,None,Backend,P2,Pending,
5.0,Gap 4 — Threat Intel,2,Intel Job,5.1.2,AlienVault OTX enrichment,GET /api/v1/indicators/domain/{domain}/reputation for net-new unknown domains. 7-day per-domain cache. OTX_API_KEY from .env.,0.5,5.1.1,Backend,P1,Pending,Free 10k/day — replaces GreyNoise
5.0,Gap 4 — Threat Intel,2,Intel Job,5.1.3,GitHub MCP scrape,Search GitHub API for mcpServers in JSON. Extract domains. GITHUB_TOKEN from .env.,1.0,5.1.1,Backend,P1,Pending,
5.0,Gap 4 — Threat Intel,2,Intel Job,5.1.4,MITRE ATLAS mapping,Nightly download of ATLAS.yaml from public GitHub. Write config/atlas_map.yaml mapping PatronAI outcomes to ATLAS technique IDs.,0.5,5.1.1,Backend,P1,Pending,Free — no auth needed
5.0,Gap 4 — Threat Intel,2,Intel Job,5.1.5,Multi-source threshold,Domain auto-added only if ≥2 sources confirm. Single-source → pending_intel.yaml for human review.,0.5,5.1.3,Backend,P0,Pending,Prevents poisoned intel
5.0,Gap 4 — Threat Intel,2,Intel Job,5.1.6,Auto-PR gate,Commit new entries on chore/intel-refresh-{date} branch with [INTEL:AUTO] tag. Weekly operator review.,0.5,5.1.5,Backend,P2,Pending,
5.0,Gap 4 — Threat Intel,2,GuardDuty,5.2.1,GuardDuty ingestor,EventBridge → SNS → source_hint=guardduty normalizer path. CRITICAL for IAMUser findings.,1.0,None,DevOps+Backend,P1,Pending,Same sprint — shared infra
6.0,Gap 5 — SIEM,v2,v1 Doc,6.0.1,S3 path docs,Document s3://patronai/findings_current/ schema and path for customer SIEM connectors (Splunk S3 input). Zero code change.,0.25,None,TW,P1,Pending,v1 bridge — customer configures their own SIEM
